signal_date,buy_date,sell_date,portfolio_ret,benchmark_ret,excess_ret,n_stocks,top_stocks,cum_portfolio,cum_benchmark,cum_excess
2024-05-20,2024-05-21,2024-05-28,-0.019561902457453338,-0.018964151362074584,-0.000597751095378754,10,"605117.SH,300418.SZ,300476.SZ,300122.SZ,600438.SH,000625.SZ,000625.SZ,601138.SH,002459.SZ,000651.SZ",1.3558166894986006,1.0332520893314365,1.3124596557511736
2024-05-27,2024-05-28,2024-06-04,0.02732542808545222,0.00701532398839388,0.02031010409705834,10,"301236.SZ,300476.SZ,001979.SZ,601138.SH,300442.SZ,300413.SZ,605117.SH,688256.SH,600362.SH,000002.SZ",1.3928649609445505,1.0405006874997815,1.3391158479826692
2024-06-03,2024-06-04,2024-06-12,-0.01778919779286433,-0.010792952962369358,-0.006996244830494972,10,"300476.SZ,300442.SZ,301236.SZ,300418.SZ,605117.SH,002920.SZ,002920.SZ,601825.SH,000002.SZ,601006.SH",1.3680870106555576,1.0292706125222835,1.3297470656537866
2024-06-11,2024-06-12,2024-06-19,-0.006485625886850797,-0.0008808806945952389,-0.005604745192255558,10,"300418.SZ,601888.SH,605117.SH,002459.SZ,300476.SZ,002625.SZ,300442.SZ,601872.SH,000975.SZ,300347.SZ",1.3592141101237856,1.0283639479101985,1.3222941721806476
2024-06-18,2024-06-19,2024-06-26,-0.025706098446987936,-0.01693034980953124,-0.008775748637456695,10,"605117.SH,300347.SZ,300442.SZ,600010.SH,603019.SH,603195.SH,600845.SH,600845.SH,300418.SZ,600111.SH",1.3242740183984085,1.0109533865405682,1.3106900509008164
2024-06-25,2024-06-26,2024-07-03,-0.04935382290266134,-0.00822847113399512,-0.04112535176866622,10,"300394.SZ,600010.SH,300760.SZ,002028.SZ,300832.SZ,300782.SZ,300418.SZ,688047.SH,300347.SZ,002460.SZ",1.2589160330197777,1.0026347857816045,1.2567874614978292
2024-07-02,2024-07-03,2024-07-10,0.046259457464832246,-0.004498676320001638,0.05075813378483388,10,"300394.SZ,603369.SH,688256.SH,601138.SH,300476.SZ,300866.SZ,603501.SH,601607.SH,601328.SH,002594.SZ",1.3171528057010515,0.9981242564131988,1.320579647607638
2024-07-09,2024-07-10,2024-07-17,0.007721908919316114,0.018822432281298717,-0.011100523361982603,10,"300394.SZ,601012.SH,601138.SH,688303.SH,605117.SH,002459.SZ,300059.SZ,601211.SH,600050.SH,600377.SH",1.3273237396994968,1.0169113826378577,1.3059205223780106
2024-07-16,2024-07-17,2024-07-24,-0.0237393177118832,-0.0251160363951736,0.001376718683290399,10,"688256.SH,300394.SZ,600406.SH,601138.SH,002459.SZ,002241.SZ,001979.SZ,688303.SH,300476.SZ,002920.SZ",1.2958139797362456,0.991370599340859,1.307718407560061
2024-07-23,2024-07-24,2024-07-31,0.07360862811947108,0.022155224694563633,0.05145340342490745,10,"002459.SZ,688303.SH,300394.SZ,601012.SH,300803.SZ,000858.SZ,000858.SZ,300059.SZ,002920.SZ,002920.SZ",1.3911970690826625,1.0133346377248398,1.3750049703504263
2024-07-30,2024-07-31,2024-08-07,-0.027098273154838246,-0.03039268224518099,0.0032944090903427453,10,"300394.SZ,300832.SZ,688047.SH,002600.SZ,600160.SH,002459.SZ,601012.SH,601919.SH,688303.SH,600438.SH",1.35349803089245,0.9825366800724331,1.3795347992240155
2024-08-06,2024-08-07,2024-08-14,0.023586664064143385,-0.012390399193104333,0.03597706325724772,10,"300394.SZ,300502.SZ,300476.SZ,002600.SZ,601138.SH,688256.SH,688169.SH,600160.SH,000807.SZ,603993.SH",1.3854225342585897,0.9703626583844682,1.4291664099612724
2024-08-13,2024-08-14,2024-08-21,0.01926354518584259,-0.00014893862482205503,0.019412483810664648,10,"300502.SZ,300866.SZ,300394.SZ,688169.SH,300476.SZ,603986.SH,601138.SH,688256.SH,002601.SZ,300308.SZ",1.4121106838487645,0.9702181339045498,1.4569100797573913
2024-08-20,2024-08-21,2024-08-28,-0.03292970005499933,-0.01653451276528936,-0.01639518728970997,10,"300476.SZ,300502.SZ,002600.SZ,601698.SH,002384.SZ,688256.SH,601138.SH,302132.SZ,688169.SH,600160.SH",1.3656103025851647,0.9541760497843897,1.4330237661355025
2024-08-27,2024-08-28,2024-09-04,-0.011252553836297684,-0.0051574149521170735,-0.006095138884180611,10,"002600.SZ,002384.SZ,300476.SZ,601825.SH,300750.SZ,000895.SZ,601628.SH,601688.SH,603893.SH,600377.SH",1.3502436991359223,0.9492549679582797,1.424289287256575
2024-09-03,2024-09-04,2024-09-11,-0.014082319528709317,-0.019009458741688617,0.0049271392129793,10,"600760.SH,601006.SH,601916.SH,300803.SZ,600585.SH,300628.SZ,000063.SZ,000063.SZ,601390.SH,002179.SZ",1.331229135923064,0.9312101448095339,1.4313069588544434
2024-09-10,2024-09-11,2024-09-20,0.001010922974157659,0.007452299823269227,-0.006441376849111568,10,"300394.SZ,688256.SH,300476.SZ,601825.SH,002384.SZ,300628.SZ,601288.SH,600009.SH,601689.SH,603259.SH",1.3325749060404366,0.9381498020071246,1.422087371345706
2024-09-19,2024-09-20,2024-09-27,0.14686104701475305,0.16002900866683015,-0.013167961652077093,10,"002466.SZ,600011.SH,600160.SH,002600.SZ,600089.SH,601916.SH,601169.SH,601816.SH,000001.SZ,000001.SZ",1.5282782519671214,1.0882809848033077,1.4033613793739226
2024-09-26,2024-09-27,2024-10-11,0.20352788597747015,0.057635363378722666,0.1458925225987475,10,"688981.SH,002916.SZ,688012.SH,688256.SH,688082.SH,688506.SH,688187.SH,300866.SZ,688008.SH,300394.SZ",1.839325493775333,1.1510044548206007,1.6081013111284421
2024-10-10,2024-10-11,2024-10-18,0.003423629755868531,0.015687841347679702,-0.01226421159181117,10,"600377.SH,600674.SH,601009.SH,600489.SH,001979.SZ,600547.SH,600115.SH,688082.SH,600025.SH,600025.SH",1.8456226632665498,1.1690612300982988,1.588379216387694
2024-10-17,2024-10-18,2024-10-25,-0.048046412935771866,0.014978850862558644,-0.06302526379833051,10,"300059.SZ,000975.SZ,688041.SH,300033.SZ,600048.SH,688111.SH,688047.SH,300803.SZ,301236.SZ,601988.SH",1.7569471146636262,1.1865724239131406,1.488271197263074
2024-10-24,2024-10-25,2024-11-01,-0.008215507176735456,-0.015449031366310682,0.007233524189575225,10,"605117.SH,601336.SH,300033.SZ,688041.SH,600026.SH,600377.SH,003816.SZ,002001.SZ,600415.SH,002422.SZ",1.7425129030339626,1.168241029317707,1.4990366429691244
2024-10-31,2024-11-01,2024-11-08,0.04923778206030087,0.06457393477678255,-0.015336152716481685,10,"688256.SH,002459.SZ,000617.SZ,600438.SH,300803.SZ,600845.SH,600845.SH,003816.SZ,600025.SH,600025.SH",1.828310373590811,1.24367894934843,1.476047188084948
2024-11-07,2024-11-08,2024-11-15,-0.051754656031745096,-0.03380265210278564,-0.01795200392895946,10,"601211.SH,688472.SH,601698.SH,301236.SZ,601901.SH,600999.SH,601788.SH,600600.SH,300803.SZ,601318.SH",1.7336867990863472,1.201639302496047,1.4495491831651175
2024-11-14,2024-11-15,2024-11-22,-0.019882303365474703,-0.026697910436132306,0.006815607070657603,10,"300033.SZ,600809.SH,600482.SH,300750.SZ,688303.SH,002460.SZ,601825.SH,002142.SZ,688271.SH,002230.SZ",1.6992171122061936,1.169558044021471,1.4594287408271636
2024-11-21,2024-11-22,2024-11-29,0.027609623616188794,0.017622289341637704,0.00998733427455109,10,"002459.SZ,300832.SZ,688169.SH,300124.SZ,600875.SH,600016.SH,600674.SH,600015.SH,300059.SZ,688111.SH",1.7461318571163942,1.1901683342750573,1.4740045435116917
2024-11-28,2024-11-29,2024-12-06,0.027619828687474167,0.017195995501987648,0.010423833185486519,10,"601360.SH,601360.SH,600039.SH,688111.SH,300033.SZ,300803.SZ,300059.SZ,300418.SZ,301269.SZ,688506.SH",1.7943597198756902,1.2106344635978592,1.4893693209879066
2024-12-05,2024-12-06,2024-12-13,-0.023954157367661974,-0.008468781596777471,-0.015485375770884503,10,"300979.SZ,300803.SZ,300033.SZ,601006.SH,688506.SH,601238.SH,601238.SH,300760.SZ,002594.SZ,688256.SH",1.7513773447715941,1.2003818647321172,1.4663058773907818
2024-12-12,2024-12-13,2024-12-20,0.010164711737547606,-0.004816120309880317,0.014980832047427922,10,"600415.SH,002179.SZ,300059.SZ,300476.SZ,601360.SH,601360.SH,603893.SH,000333.SZ,601059.SH,300274.SZ",1.7691795906248688,1.1946006812537688,1.4882723594701295
2024-12-19,2024-12-20,2024-12-27,0.008333372285270193,0.011205695713834975,-0.002872323428564782,10,"603986.SH,601456.SH,603259.SH,000807.SZ,300418.SZ,002714.SZ,002625.SZ,002179.SZ,300502.SZ,002236.SZ",1.7839228227930477,1.2079870129874384,1.4839975599039381
2024-12-26,2024-12-27,2025-01-06,-0.07688122444374379,-0.05958536856323424,-0.017295855880509553,10,"688271.SH,300502.SZ,300124.SZ,300782.SZ,600050.SH,601319.SH,002236.SZ,000895.SZ,600016.SH,002415.SZ",1.6467726518635784,1.1360086615989815,1.4583305519808119
