month,stock_code,stock_name,industry,rank,score,pb,pe_ttm,roe_ttm,market_cap,volatility_20,excess_month,stock_return,stock_excess
2025-05,601319.SH,中国人保,非银金融,9,0.8672200648367835,1.15,6.87,4.6887,0.32106599999999996,0.02486654993511112,0.0604649969230126,0.1499717034521788,0.173057456639956
2025-05,600795.SH,国电电力,公用事业,10,0.8714407970880285,1.39,8.14,3.1782,0.08026,0.01658634251688183,0.0604649969230126,0.01631701631701632,0.03940276950479352
2025-05,600582.SH,天地科技,机械设备,11,0.8638051640544722,0.99,7.65,5.7107,0.025742,0.02648002156048208,0.0604649969230126,0.0028798915805523517,0.025965644768329552
2025-05,600863.SH,华能蒙电,公用事业,12,0.8591345967811658,1.52,12.0,4.0597,0.026173000000000002,0.01568208393352885,0.0604649969230126,0.01319261213720302,0.036278365324980216
2025-05,601390.SH,中国中铁,建筑装饰,13,0.8592986750192095,0.44,5.2,1.6769,0.13756500000000002,0.01879475846487954,0.0604649969230126,0.01132075471698113,0.03440650790475833
2025-05,600901.SH,江苏金租,非银金融,14,0.8546750810782793,1.25,10.4,3.1479,0.031221,0.02236933724230572,0.0604649969230126,0.11222444889779548,0.13531020208557268
2025-05,601669.SH,中国电建,建筑装饰,15,0.8554341549304991,0.58,7.04,1.5886,0.081652,0.021138429805265844,0.0604649969230126,-0.00214610882289179,0.02093964436488541
2025-05,600027.SH,华电国际,公用事业,16,0.8473011299060776,1.34,10.3,2.8887,0.059422,0.022557947159297983,0.0604649969230126,0.008944543828264706,0.0320302970160419
2025-05,600219.SH,南山铝业,有色金属,17,0.8500886524289184,0.82,7.52,3.3346,0.042738,0.033197601455077434,0.0604649969230126,0.04557054320087506,0.06865629638865225
2025-05,601868.SH,中国能建,建筑装饰,18,0.8581118697353562,0.85,10.85,1.3798,0.092554,0.018020674735929363,0.0604649969230126,0.0,0.0230857531877772
2025-05,601117.SH,中国化学,建筑装饰,19,0.841335420499434,0.72,7.71,2.2917,0.045632,0.0246751974593615,0.0604649969230126,0.029231625835189234,0.05231737902296643
2025-05,601918.SH,新集能源,煤炭,20,0.8370256861551201,1.08,7.51,3.3567,0.017486,0.024709125152713254,0.0604649969230126,-0.010703363914373099,0.012382389273404102
2025-05,600282.SH,南钢股份,钢铁,21,0.8458271808880807,1.01,11.82,2.1978,0.027002999999999996,0.023057291434095573,0.0604649969230126,-0.032324489991380045,-0.009238736803602845
2025-05,601857.SH,中国石油,石油石化,22,0.836688205861389,0.93,8.79,3.0394,1.456847,0.028978652016220147,0.0604649969230126,0.045393858477970506,0.0684796116657477
2025-05,601898.SH,中煤能源,煤炭,23,0.8352649383431041,0.85,7.26,2.5845,0.133117,0.023538477335079674,0.0604649969230126,0.03223793677204667,0.05532368995982387
2025-05,000630.SZ,铜陵有色,有色金属,24,0.8481476117913297,1.19,14.46,3.2836,0.041069,0.028889751884357537,0.0604649969230126,-0.009803921568627527,0.013281831619149673
2025-05,000027.SZ,深圳能源,公用事业,25,0.8394450429781352,0.95,13.78,2.7425,0.031018,0.022782845450516533,0.0604649969230126,-0.0219780219780219,0.0011077312097553006
2025-05,600905.SH,三峡能源,公用事业,26,0.8429283798171578,1.38,20.05,2.7813,0.12305999999999999,0.013593518047483056,0.0604649969230126,-0.0070871722182846986,0.015998580969492502
2025-05,601991.SH,大唐发电,公用事业,27,0.8390448732591103,1.83,10.91,2.851,0.059036,0.023913884206907425,0.0604649969230126,0.009762764814995606,0.0328485180027728
2025-05,600064.SH,南京高科,房地产,28,0.8307397416565183,0.65,6.64,3.6337,0.012562,0.026651539508573397,0.0604649969230126,0.04885057471264376,0.07193632790042095
2025-05,601600.SH,中国铝业,有色金属,29,0.8280934029255321,1.54,8.12,4.968,0.11134000000000001,0.02974172530278922,0.0604649969230126,0.030487804878048808,0.053573558065826005
2025-05,601975.SH,招商南油,交通运输,30,0.8395611496189631,1.18,8.51,2.5953,0.013061000000000001,0.024876989913210242,0.0604649969230126,0.003676470588235281,0.02676222377601248
2025-06,601668.SH,中国建筑,建筑装饰,1,0.897476654549157,0.5,5.08,3.1963,0.23511300000000002,0.008146805473414868,-0.004663454594943,0.012918704438497741,-0.017314448064349158
2025-06,601916.SH,浙商银行,银行,2,0.9031230775174016,0.51,5.92,2.9694,0.090084,0.009683850637203133,-0.004663454594943,0.11395646606914211,0.08372331356629521
2025-06,600219.SH,南山铝业,有色金属,3,0.8929580772527866,0.84,7.64,3.3346,0.043435,0.00983901417485174,-0.004663454594943,0.03486750348675027,0.004634350983903374
2025-06,600582.SH,天地科技,机械设备,4,0.8829233352549112,0.95,7.28,5.7107,0.0245,0.006935013729636043,-0.004663454594943,0.016891891891891886,-0.013341260610955013
2025-06,601658.SH,邮储银行,银行,5,0.8826588118694295,0.64,6.25,2.4947,0.536461,0.008183631264395015,-0.004663454594943,0.020805749952714336,-0.009427402550132562
2025-06,601288.SH,农业银行,银行,6,0.873860121163274,0.74,6.87,2.3099,1.9494049999999998,0.008847943554920126,-0.004663454594943,0.07323943661971821,0.04300628411687131
2025-06,601818.SH,光大银行,银行,7,0.8770543450966182,0.49,5.71,2.1232,0.23811500000000002,0.010461706718775153,-0.004663454594943,0.04427083333333326,0.01403768083048636
2025-06,600018.SH,上港集团,交通运输,8,0.8656095410114234,0.99,8.95,2.8857,0.13573,0.010236345726630998,-0.004663454594943,-0.015971606033717833,-0.046204758536564736
2025-06,601988.SH,中国银行,银行,9,0.8650352765164504,0.67,6.88,1.9269,1.6250209999999998,0.008109723070384246,-0.004663454594943,0.024026910139356206,-0.006206242363490693
2025-06,600016.SH,民生银行,银行,10,0.868258762782062,0.35,6.21,1.9678,0.196145,0.01063214935209863,-0.004663454594943,0.08640822045773011,0.05617506795488321
2025-06,601390.SH,中国中铁,建筑装饰,11,0.8614359795976085,0.45,5.26,1.6769,0.139049,0.006919753479789666,-0.004663454594943,-0.007462686567164201,-0.0376958390700111
2025-06,600863.SH,华能蒙电,公用事业,12,0.8610734127487395,1.54,12.15,4.0597,0.026499,0.006265567109383874,-0.004663454594943,0.02604166666666674,-0.004191485836180158
2025-06,601857.SH,中国石油,石油石化,13,0.8538793416862913,0.97,9.16,3.0394,1.519074,0.010071484203066786,-0.004663454594943,0.07535121328224781,0.045118060779400906
2025-06,600795.SH,国电电力,公用事业,14,0.8577581205745255,1.41,8.27,3.1782,0.081509,0.011046080301802147,-0.004663454594943,0.09633027522935778,0.06609712272651087
2025-06,601669.SH,中国电建,建筑装饰,15,0.8598747963101988,0.58,7.02,1.5886,0.08148,0.007254746957615478,-0.004663454594943,0.028220112532858055,-0.002013039969988844
2025-06,000630.SZ,铜陵有色,有色金属,16,0.8628589383767673,1.17,14.32,3.2836,0.040685,0.011562763047945925,-0.004663454594943,0.10561056105610578,0.07537740855325888
2025-06,600998.SH,九州通,医药生物,17,0.8521509080038242,1.01,9.11,3.4967,0.026775999999999998,0.012406817722738404,-0.004663454594943,0.001956947162426559,-0.02827620534042034
2025-06,601868.SH,中国能建,建筑装饰,18,0.8615837745781464,0.85,10.85,1.3798,0.092554,0.004878554841076466,-0.004663454594943,0.0,-0.0302331525028469
2025-06,600064.SH,南京高科,房地产,19,0.8458352964809274,0.68,6.95,3.6337,0.013151,0.007717085422753534,-0.004663454594943,0.015068493150685036,-0.015164659352161863
2025-06,600027.SH,华电国际,公用事业,20,0.8449773623793978,1.35,10.39,2.8887,0.059934,0.010058319098091559,-0.004663454594943,-0.06205673758865238,-0.09228989009149928
2025-06,600905.SH,三峡能源,公用事业,21,0.8479724228727589,1.37,19.91,2.7813,0.122202,0.005250897785532682,-0.004663454594943,0.0,-0.0302331525028469
2025-06,600282.SH,南钢股份,钢铁,22,0.8465511536887896,0.96,11.22,2.1978,0.025647000000000003,0.009981011862608382,-0.004663454594943,0.03216707081704362,0.0019339183141967205
2025-06,000027.SZ,深圳能源,公用事业,23,0.8413370448399572,0.93,13.48,2.7425,0.030351999999999997,0.00964147676318396,-0.004663454594943,0.03049759229534499,0.0002644397924980897
2025-06,600704.SH,物产中大,交通运输,24,0.8434755150930655,0.65,8.33,2.3011,0.026949,0.012274577953943724,-0.004663454594943,0.024590163934426146,-0.005642988568420753
2025-06,601918.SH,新集能源,煤炭,25,0.8355448745543702,1.07,7.44,3.3567,0.017305,0.010690203742343788,-0.004663454594943,-0.03554868624420393,-0.06578183874705083
2025-06,601186.SH,中国铁建,建筑装饰,26,0.8353375963403481,0.4,5.05,1.5539,0.107822,0.007135029000817698,-0.004663454594943,0.005235602094240788,-0.02499755040860611
2025-06,000875.SZ,电投绿能,公用事业,27,0.8400763764980499,1.07,16.96,3.6473,0.018716999999999998,0.009795559779144085,-0.004663454594943,-0.00274348422496562,-0.03297663672781252
2025-06,601800.SH,中国交建,建筑装饰,28,0.833296955816249,0.5,6.34,1.7273,0.144066,0.0075450049652126885,-0.004663454594943,0.0013534641682029225,-0.028879688334643976
2025-06,600583.SH,海油工程,石油石化,29,0.838035681942019,0.86,10.34,2.0379,0.023035,0.008984171155760135,-0.004663454594943,0.04606525911708248,0.01583210661423558
2025-06,600035.SH,楚天高速,交通运输,30,0.8301980552001155,0.83,9.64,3.1552,0.007358,0.007947974430900406,-0.004663454594943,-0.025000000000000022,-0.055233152502846924
2025-07,601668.SH,中国建筑,建筑装饰,1,0.8998296148980172,0.51,5.14,6.4329,0.23800500000000002,0.007300176397398761,-0.0281202123342017,0.02760317026509962,-0.03318091950790158
2025-07,600018.SH,上港集团,交通运输,2,0.8789371600220858,0.97,8.81,5.9571,0.133635,0.00799964012660456,-0.0281202123342017,0.006311992786294018,-0.05447209698670718
2025-07,600582.SH,天地科技,机械设备,3,0.8748920098077898,0.96,7.4,8.3763,0.024914,0.007718973696518403,-0.0281202123342017,0.038205980066445155,-0.022578109706556042
2025-07,600219.SH,南山铝业,有色金属,4,0.8748461071363219,0.86,7.89,5.1462,0.044829,0.010413472595240666,-0.0281202123342017,0.019654088050314655,-0.04113000172268654
2025-07,600023.SH,浙能电力,公用事业,5,0.8701856774802533,0.96,10.21,4.7763,0.071603,0.005506320335578866,-0.0281202123342017,0.030000000000000027,-0.03078408977300117
2025-07,601598.SH,中国外运,交通运输,6,0.8672295923567394,0.9,9.58,4.8836,0.036032999999999996,0.007929688358952068,-0.0281202123342017,0.11290322580645151,0.052119136033450315
2025-07,002608.SZ,江苏国信,公用事业,7,0.8572816590169595,0.85,8.38,6.1022,0.027844,0.006747624069838076,-0.0281202123342017,0.023383768913342706,-0.03740032085965849
2025-07,601818.SH,光大银行,银行,8,0.8600801806066479,0.52,5.95,4.1653,0.24815900000000002,0.0124777654246776,-0.0281202123342017,-0.016209476309226867,-0.07699356608222807
2025-07,601658.SH,邮储银行,银行,9,0.8556909348200384,0.79,7.73,4.5407,0.662925,0.011614180682910211,-0.0281202123342017,0.025940337224383825,-0.03484375254861737
2025-07,600282.SH,南钢股份,钢铁,10,0.8587445454260212,0.99,11.57,5.5251,0.026448000000000003,0.009824384996260762,-0.0281202123342017,0.05274008726087165,-0.008044002512129549
2025-07,601288.SH,农业银行,银行,11,0.8547161463892623,0.79,7.35,4.4758,2.085899,0.011339638895633613,-0.0281202123342017,0.08670166229221343,0.025917572519212236
2025-07,600704.SH,物产中大,交通运输,12,0.8559901835420685,0.67,8.52,4.8131,0.027568000000000002,0.010155337339149969,-0.0281202123342017,0.06600000000000006,0.005215910226998861
2025-07,601390.SH,中国中铁,建筑装饰,13,0.8549975793549298,0.44,5.22,3.2785,0.13805499999999998,0.00829761702508664,-0.0281202123342017,0.05037593984962396,-0.010408149923377234
2025-07,600064.SH,南京高科,房地产,14,0.8440006618562592,0.69,7.05,7.3352,0.013341,0.008396433646465378,-0.0281202123342017,0.018893387314439902,-0.041890702458561295
2025-07,600863.SH,华能蒙电,公用事业,15,0.8513099127521919,1.57,12.45,8.6478,0.027152,0.010417073480726822,-0.0281202123342017,0.025380710659898442,-0.035403379113102755
2025-07,000543.SZ,皖能电力,公用事业,16,0.8441650618006219,0.99,7.77,6.7729,0.015959,0.007565766256548775,-0.0281202123342017,0.008522727272727293,-0.052261362500273904
2025-07,601600.SH,中国铝业,有色金属,17,0.8417285095162303,1.68,8.86,9.9703,0.12146199999999999,0.011040741094465227,-0.0281202123342017,0.04544121958369973,-0.015342870189301465
2025-07,601326.SH,秦港股份,交通运输,18,0.8544365362251368,0.92,11.7,5.0356,0.018159,0.009649797733080986,-0.0281202123342017,0.02369668246445511,-0.03708740730854609
2025-07,600998.SH,九州通,医药生物,19,0.8484016322456395,0.98,8.78,5.2553,0.025817000000000003,0.010518079921265747,-0.0281202123342017,0.0703125,0.009528410226998803
2025-07,601857.SH,中国石油,石油石化,20,0.8404185641231067,1.01,9.54,5.4696,1.581301,0.01055123031373159,-0.0281202123342017,-0.015439429928741144,-0.07622351970174235
2025-07,601918.SH,新集能源,煤炭,21,0.8415875179258553,1.04,7.18,5.7553,0.016709,0.008271876562273893,-0.0281202123342017,0.0,-0.0607840897730012
2025-07,601988.SH,中国银行,银行,22,0.8440587973560115,0.75,7.71,4.0522,1.8205,0.012210882775903058,-0.0281202123342017,-0.01804858679565402,-0.07883267656865522
2025-07,601398.SH,工商银行,银行,23,0.8416736129305654,0.74,7.53,4.1586,2.7300720000000003,0.010258792657851084,-0.0281202123342017,0.01694316018493347,-0.04384092958806773
2025-07,600908.SH,无锡银行,银行,24,0.8393414978122643,0.65,6.2,5.7837,0.01409,0.010599158520863829,-0.0281202123342017,-0.026272577996716007,-0.08705666776971721
2025-07,601919.SH,中远海控,交通运输,25,0.8294021171500391,0.97,4.37,7.5144,0.236064,0.009400150974513004,-0.0281202123342017,0.017711171662125436,-0.04307291811087576
2025-07,600795.SH,国电电力,公用事业,26,0.8393049186870802,1.54,9.03,6.466,0.089,0.012790137461444234,-0.0281202123342017,-0.06903765690376573,-0.12982174667676694
2025-07,601868.SH,中国能建,建筑装饰,27,0.8502933832587906,0.85,10.85,2.3947,0.092554,0.0051000615996574265,-0.0281202123342017,0.15954052329291635,0.09875643351991514
2025-07,000683.SZ,博源化工,基础化工,28,0.8399571693906668,1.19,11.22,5.1731,0.017738,0.007751735857353713,-0.0281202123342017,0.20335429769392044,0.14257020792091923
2025-07,601298.SH,青岛港,交通运输,29,0.8338908338846632,1.29,10.68,6.5701,0.056797,0.009767907643610008,-0.0281202123342017,-0.007140561962226233,-0.06792465173522744
2025-07,600642.SH,申能股份,公用事业,30,0.8341506115456957,1.15,11.11,5.4179,0.042187,0.007730811301970688,-0.0281202123342017,0.00244798041615657,-0.05833610935684463
2025-08,601668.SH,中国建筑,建筑装饰,1,0.8877025310079417,0.5,5.04,6.4329,0.23304699999999998,0.010121492639420358,-0.2989742268383939,-0.014184397163120588,-0.3209589768443128
2025-08,600018.SH,上港集团,交通运输,2,0.8820036718250294,0.95,8.64,5.9571,0.131074,0.00855026735573174,-0.2989742268383939,-0.007168458781361964,-0.31394303846255417
2025-08,601818.SH,光大银行,银行,3,0.879333042799879,0.5,5.73,4.1653,0.239296,0.00934378941259725,-0.2989742268383939,-0.08618504435994923,-0.39295962404114143
2025-08,600795.SH,国电电力,公用事业,4,0.867741709317397,1.4,8.23,6.466,0.081152,0.009918173272866005,-0.2989742268383939,0.08089887640449422,-0.22587570327669798
2025-08,601658.SH,邮储银行,银行,5,0.8641331877036945,0.81,7.92,4.5407,0.6797380000000001,0.009901982944407691,-0.2989742268383939,0.07765938233700553,-0.22911519734418667
2025-08,601825.SH,沪农商行,银行,6,0.8584172648741283,0.7,7.11,5.5955,0.087475,0.008196640177741618,-0.2989742268383939,-0.036244195265602075,-0.3430187749467943
2025-08,601988.SH,中国银行,银行,7,0.8640072862609386,0.73,7.57,4.0522,1.7882790000000002,0.0091798704662456,-0.2989742268383939,-0.005514097709811483,-0.3122886773910037
2025-08,002948.SZ,青岛银行,银行,8,0.8591669936409584,0.73,5.97,6.8096,0.027995999999999997,0.012055387718836996,-0.2989742268383939,0.027027027027027195,-0.279747552654165
2025-08,601872.SH,招商轮船,交通运输,9,0.8564856369926489,1.2,10.63,5.2781,0.048851,0.008042748363933344,-0.2989742268383939,0.10033444816053505,-0.20644013152065716
2025-08,601939.SH,建设银行,银行,10,0.8496439168683825,0.76,7.58,4.7078,2.464276,0.008045963466188445,-0.2989742268383939,-0.041151372073379267,-0.34792595175457147
2025-08,600863.SH,华能蒙电,公用事业,11,0.854628060279914,1.53,12.47,8.6478,0.026369,0.01005795304146186,-0.2989742268383939,-0.0024752475247524774,-0.3092498272059447
