date,stock_code,prediction,pred_rank
2023-08-09,600031.SH,-0.00044452757,23
2023-08-09,600036.SH,-0.0019141823,34
2023-08-09,600050.SH,-0.0008666253,27
2023-08-09,600104.SH,0.008133704,3
2023-08-09,600276.SH,0.020362139,1
2023-08-09,600309.SH,0.0036963965,8
2023-08-09,600438.SH,9.916444e-05,19
2023-08-09,600519.SH,-0.003555573,42
2023-08-09,600585.SH,-0.002268218,37
2023-08-09,600690.SH,-0.002211596,36
2023-08-09,600809.SH,-0.0023508118,39
2023-08-09,600887.SH,-0.00011445936,21
2023-08-09,600900.SH,0.004225664,7
2023-08-09,601012.SH,0.0009761566,14
2023-08-09,601138.SH,-0.012120057,48
2023-08-09,601166.SH,0.0030437545,9
2023-08-09,601225.SH,-0.0053769974,44
2023-08-09,601288.SH,-7.3594376e-05,20
2023-08-09,601318.SH,-0.0018604848,33
2023-08-09,601398.SH,0.0014972367,12
2023-08-09,601601.SH,-0.003083717,41
2023-08-09,601668.SH,-0.0025869724,40
2023-08-09,601857.SH,-0.00046183504,25
2023-08-09,601888.SH,-0.015058511,49
2023-08-09,601899.SH,-0.00052549096,26
2023-08-09,601919.SH,0.0007540381,17
2023-08-09,601939.SH,0.0011603658,13
2023-08-16,000001.SZ,-0.002291678,27
2023-08-16,000002.SZ,-0.003751648,40
2023-08-16,000333.SZ,-0.0020524005,25
2023-08-16,000568.SZ,-0.004944074,44
2023-08-16,000651.SZ,-0.0003563293,16
2023-08-16,000725.SZ,-0.0010169382,21
2023-08-16,000858.SZ,-0.0062976703,48
2023-08-16,002027.SZ,-0.0017167302,24
2023-08-16,002142.SZ,0.0014269785,8
2023-08-16,002230.SZ,0.0049130055,2
2023-08-16,002304.SZ,-0.0055055628,45
2023-08-16,002352.SZ,-0.0023079314,29
2023-08-16,002415.SZ,-0.0044323453,41
2023-08-16,002475.SZ,-0.003073086,37
2023-08-16,002594.SZ,-0.0022623206,26
2023-08-16,002714.SZ,-0.00043481073,18
2023-08-16,300015.SZ,-7.4215684e-05,14
2023-08-16,300059.SZ,0.0013377692,9
2023-08-16,300750.SZ,-0.006198402,47
2023-08-16,300760.SZ,-0.0022944838,28
2023-08-16,600000.SH,-0.0004127887,17
2023-08-16,600028.SH,-0.0034007407,38
2023-08-16,600030.SH,-0.011125091,50
2023-08-16,600031.SH,-0.0023994667,31
2023-08-16,600036.SH,0.0028266124,5
2023-08-16,600050.SH,0.0022712417,6
2023-08-16,600104.SH,0.0037432234,3
2023-08-16,600276.SH,0.002233166,7
2023-08-16,600309.SH,-0.0013467683,23
2023-08-16,600438.SH,-0.00254488,32
2023-08-16,600519.SH,-0.0027299798,35
2023-08-16,600585.SH,-0.0029023609,36
2023-08-16,600690.SH,0.00055730535,11
2023-08-16,600809.SH,-0.008609746,49
2023-08-16,600887.SH,-0.00068309705,19
2023-08-16,600900.SH,0.0030671468,4
2023-08-16,601012.SH,-0.005758163,46
2023-08-16,601138.SH,0.025233153,1
2023-08-16,601166.SH,0.0005202604,12
2023-08-16,601225.SH,-0.0010918858,22
2023-08-16,601288.SH,-0.00019904073,15
2023-08-16,601318.SH,-0.0026173852,34
2023-08-16,601398.SH,0.0006963714,10
2023-08-16,601601.SH,-0.00079766463,20
2023-08-16,601668.SH,-0.0035824052,39
2023-08-16,601857.SH,-0.0044994284,42
2023-08-16,601888.SH,-0.0047440883,43
2023-08-16,601899.SH,-0.0025771316,33
2023-08-16,601919.SH,-0.0023901893,30
